subordinate_id,manager_id
agent.smith.E0002@neosmith.com,thomas.anderson.E0001@neosmith.com
morpheus.E0003@neosmith.com,agent.smith.E0002@neosmith.com
trinity.E0004@neosmith.com,morpheus.E0003@neosmith.com
billy.butcher.E0005@neosmith.com,morpheus.E0003@neosmith.com
hughie.campbell.E0006@neosmith.com,morpheus.E0003@neosmith.com
annie.january.E0007@neosmith.com,agent.smith.E0002@neosmith.com
homelander.E0008@neosmith.com,annie.january.E0007@neosmith.com
luke.skywalker.E0009@neosmith.com,annie.january.E0007@neosmith.com
leia.organa.E0010@neosmith.com,annie.january.E0007@neosmith.com
obi-one.kenobi.E0011@neosmith.com,thomas.anderson.E0001@neosmith.com
darth.vader.E0012@neosmith.com,obi-one.kenobi.E0011@neosmith.com
uzumaki.naruto.E0013@neosmith.com,darth.vader.E0012@neosmith.com
uchiha.sasuke.E0014@neosmith.com,darth.vader.E0012@neosmith.com
uchiha.itachi.E0015@neosmith.com,darth.vader.E0012@neosmith.com
haruno.sakura.E0016@neosmith.com,obi-one.kenobi.E0011@neosmith.com
michael.scott.E0017@neosmith.com,haruno.sakura.E0016@neosmith.com
dwight.schrute.E0018@neosmith.com,haruno.sakura.E0016@neosmith.com
jim.halpert.E0019@neosmith.com,haruno.sakura.E0016@neosmith.com
pam.beesly.E0020@neosmith.com,thomas.anderson.E0001@neosmith.com
jake.peralta.E0021@neosmith.com,pam.beesly.E0020@neosmith.com
raymond.holt.E0022@neosmith.com,jake.peralta.E0021@neosmith.com
terry.jeffords.E0023@neosmith.com,jake.peralta.E0021@neosmith.com
rosa.diaz.E0024@neosmith.com,jake.peralta.E0021@neosmith.com
william.howard.E0025@neosmith.com,pam.beesly.E0020@neosmith.com
james.robinson.E0026@neosmith.com,william.howard.E0025@neosmith.com
tara.brown.E0027@neosmith.com,william.howard.E0025@neosmith.com
sharon.sanders.E0028@neosmith.com,william.howard.E0025@neosmith.com
robert.lucas.E0029@neosmith.com,thomas.anderson.E0001@neosmith.com
william.lewis.E0030@neosmith.com,robert.lucas.E0029@neosmith.com
david.stewart.E0031@neosmith.com,william.lewis.E0030@neosmith.com
melanie.perez.E0032@neosmith.com,william.lewis.E0030@neosmith.com
alice.jimenez.E0033@neosmith.com,william.lewis.E0030@neosmith.com
miss.kimberly.clark.E0034@neosmith.com,robert.lucas.E0029@neosmith.com
miss.sara.miller.md.E0035@neosmith.com,miss.kimberly.clark.E0034@neosmith.com
christopher.hernandez.E0036@neosmith.com,miss.kimberly.clark.E0034@neosmith.com
sheila.cortez.E0037@neosmith.com,miss.kimberly.clark.E0034@neosmith.com
john.conway.E0038@neosmith.com,thomas.anderson.E0001@neosmith.com
alan.cox.E0039@neosmith.com,john.conway.E0038@neosmith.com
joanne.liu.E0040@neosmith.com,alan.cox.E0039@neosmith.com
sarah.cook.E0041@neosmith.com,alan.cox.E0039@neosmith.com
debra.lowe.E0042@neosmith.com,alan.cox.E0039@neosmith.com
regina.baker.E0043@neosmith.com,john.conway.E0038@neosmith.com
diana.griffin.E0044@neosmith.com,regina.baker.E0043@neosmith.com
danielle.tran.E0045@neosmith.com,regina.baker.E0043@neosmith.com
betty.moore.E0046@neosmith.com,regina.baker.E0043@neosmith.com
dr..christopher.robertson.E0047@neosmith.com,thomas.anderson.E0001@neosmith.com
joseph.walker.E0048@neosmith.com,dr..christopher.robertson.E0047@neosmith.com
matthew.sullivan.E0049@neosmith.com,joseph.walker.E0048@neosmith.com
ryan.diaz.E0050@neosmith.com,joseph.walker.E0048@neosmith.com
thomas.stewart.E0051@neosmith.com,joseph.walker.E0048@neosmith.com
mary.stewart.E0052@neosmith.com,dr..christopher.robertson.E0047@neosmith.com
ellen.nicholson.E0053@neosmith.com,mary.stewart.E0052@neosmith.com
amanda.davis.E0054@neosmith.com,mary.stewart.E0052@neosmith.com
john.landry.E0055@neosmith.com,mary.stewart.E0052@neosmith.com
michael.arroyo.E0056@neosmith.com,thomas.anderson.E0001@neosmith.com
alexander.williams.E0057@neosmith.com,michael.arroyo.E0056@neosmith.com
ian.campbell.E0058@neosmith.com,alexander.williams.E0057@neosmith.com
gary.murray.E0059@neosmith.com,alexander.williams.E0057@neosmith.com
kevin.garcia.E0060@neosmith.com,alexander.williams.E0057@neosmith.com
andrew.parker.E0061@neosmith.com,michael.arroyo.E0056@neosmith.com
