employee_id,role_id
thomas.anderson.E0001@neosmith.com,ROLE_CEO
agent.smith.E0002@neosmith.com,ROLE_MARKETING_C_LEVEL
morpheus.E0003@neosmith.com,ROLE_MARKETING_DIRECTOR
trinity.E0004@neosmith.com,ROLE_MARKETING_MANAGER
billy.butcher.E0005@neosmith.com,ROLE_MARKETING_MANAGER
hughie.campbell.E0006@neosmith.com,ROLE_MARKETING_MANAGER
annie.january.E0007@neosmith.com,ROLE_MARKETING_DIRECTOR
homelander.E0008@neosmith.com,ROLE_MARKETING_MANAGER
luke.skywalker.E0009@neosmith.com,ROLE_MARKETING_MANAGER
leia.organa.E0010@neosmith.com,ROLE_MARKETING_MANAGER
obi-one.kenobi.E0011@neosmith.com,ROLE_SALES_C_LEVEL
darth.vader.E0012@neosmith.com,ROLE_SALES_DIRECTOR
uzumaki.naruto.E0013@neosmith.com,ROLE_SALES_MANAGER
uchiha.sasuke.E0014@neosmith.com,ROLE_SALES_MANAGER
uchiha.itachi.E0015@neosmith.com,ROLE_SALES_MANAGER
haruno.sakura.E0016@neosmith.com,ROLE_SALES_DIRECTOR
michael.scott.E0017@neosmith.com,ROLE_SALES_MANAGER
dwight.schrute.E0018@neosmith.com,ROLE_SALES_MANAGER
jim.halpert.E0019@neosmith.com,ROLE_SALES_MANAGER
pam.beesly.E0020@neosmith.com,ROLE_ENGINEERING_C_LEVEL
jake.peralta.E0021@neosmith.com,ROLE_ENGINEERING_DIRECTOR
raymond.holt.E0022@neosmith.com,ROLE_ENGINEERING_MANAGER
terry.jeffords.E0023@neosmith.com,ROLE_ENGINEERING_MANAGER
rosa.diaz.E0024@neosmith.com,ROLE_ENGINEERING_MANAGER
william.howard.E0025@neosmith.com,ROLE_ENGINEERING_DIRECTOR
james.robinson.E0026@neosmith.com,ROLE_ENGINEERING_MANAGER
tara.brown.E0027@neosmith.com,ROLE_ENGINEERING_MANAGER
sharon.sanders.E0028@neosmith.com,ROLE_ENGINEERING_MANAGER
robert.lucas.E0029@neosmith.com,ROLE_IT_C_LEVEL
william.lewis.E0030@neosmith.com,ROLE_IT_DIRECTOR
david.stewart.E0031@neosmith.com,ROLE_IT_MANAGER
melanie.perez.E0032@neosmith.com,ROLE_IT_MANAGER
alice.jimenez.E0033@neosmith.com,ROLE_IT_MANAGER
miss.kimberly.clark.E0034@neosmith.com,ROLE_IT_DIRECTOR
miss.sara.miller.md.E0035@neosmith.com,ROLE_IT_MANAGER
christopher.hernandez.E0036@neosmith.com,ROLE_IT_MANAGER
sheila.cortez.E0037@neosmith.com,ROLE_IT_MANAGER
john.conway.E0038@neosmith.com,ROLE_RISK & COMPLIANCE_C_LEVEL
alan.cox.E0039@neosmith.com,ROLE_RISK & COMPLIANCE_DIRECTOR
